nohup: ignoring input
 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://flip1.engr.oregonstate.edu:51515/ (Press CTRL+C to quit)
10.197.131.80 - - [04/Nov/2021 14:31:50] "GET / HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:31:50] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
10.197.131.80 - - [04/Nov/2021 14:31:54] "GET /addresses HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:31:54] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
10.197.131.80 - - [04/Nov/2021 14:31:56] "GET / HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:31:56] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
10.197.131.80 - - [04/Nov/2021 14:32:15] "GET / HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:32:15] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
10.197.131.80 - - [04/Nov/2021 14:32:17] "GET /departments HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:32:18] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
10.197.131.80 - - [04/Nov/2021 14:32:19] "GET /procedures HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:32:19] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
10.197.131.80 - - [04/Nov/2021 14:32:20] "GET / HTTP/1.1" 200 -
10.197.131.80 - - [04/Nov/2021 14:32:20] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
